zip,area_name,metro
93550,Palmdale,los-angeles_long-beach_anaheim
93551,Palmdale,los-angeles_long-beach_anaheim
93552,Palmdale,los-angeles_long-beach_anaheim
93553,Pearblossom,los-angeles_long-beach_anaheim
93563,Valyermo,los-angeles_long-beach_anaheim
93591,Lake Los Angeles,los-angeles_long-beach_anaheim
94002,Belmont,san-francisco_oakland_hayward
94005,Brisbane,san-francisco_oakland_hayward
94010,Burlingame,san-francisco_oakland_hayward
94014,Daly City,san-francisco_oakland_hayward
94015,Daly City,san-francisco_oakland_hayward
94019,Half Moon Bay,san-francisco_oakland_hayward
94020,La Honda,san-francisco_oakland_hayward
94021,Loma Mar,san-francisco_oakland_hayward
94025,Menlo Park,san-francisco_oakland_hayward
94027,Atherton,san-francisco_oakland_hayward
94028,Portola Valley,san-francisco_oakland_hayward
94030,Millbrae,san-francisco_oakland_hayward
94037,Montara,san-francisco_oakland_hayward
94038,Moss Beach,san-francisco_oakland_hayward
94044,Pacifica,san-francisco_oakland_hayward
94060,Pescadero,san-francisco_oakland_hayward
94061,Redwood City,san-francisco_oakland_hayward
94062,Redwood City,san-francisco_oakland_hayward
94063,Redwood City,san-francisco_oakland_hayward
94065,Redwood City,san-francisco_oakland_hayward
94066,San Bruno,san-francisco_oakland_hayward
94070,San Carlos,san-francisco_oakland_hayward
94074,San Gregorio,san-francisco_oakland_hayward
94080,South San Francisco,san-francisco_oakland_hayward
94102,San Francisco,san-francisco_oakland_hayward
94103,San Francisco,san-francisco_oakland_hayward
94104,San Francisco,san-francisco_oakland_hayward
94105,San Francisco,san-francisco_oakland_hayward
94107,San Francisco,san-francisco_oakland_hayward
94108,San Francisco,san-francisco_oakland_hayward
94109,San Francisco,san-francisco_oakland_hayward
94110,San Francisco,san-francisco_oakland_hayward
94111,San Francisco,san-francisco_oakland_hayward
94112,San Francisco,san-francisco_oakland_hayward
94114,San Francisco,san-francisco_oakland_hayward
94115,San Francisco,san-francisco_oakland_hayward
94116,San Francisco,san-francisco_oakland_hayward
94117,San Francisco,san-francisco_oakland_hayward
94118,San Francisco,san-francisco_oakland_hayward
94121,San Francisco,san-francisco_oakland_hayward
94122,San Francisco,san-francisco_oakland_hayward
94123,San Francisco,san-francisco_oakland_hayward
94124,San Francisco,san-francisco_oakland_hayward
94127,San Francisco,san-francisco_oakland_hayward
94128,South San Francisco,san-francisco_oakland_hayward
94129,San Francisco,san-francisco_oakland_hayward
94130,San Francisco,san-francisco_oakland_hayward
94131,San Francisco,san-francisco_oakland_hayward
94132,San Francisco,san-francisco_oakland_hayward
94133,San Francisco,san-francisco_oakland_hayward
94134,San Francisco,san-francisco_oakland_hayward
94158,San Francisco,san-francisco_oakland_hayward
94401,San Mateo,san-francisco_oakland_hayward
94402,San Mateo,san-francisco_oakland_hayward
94403,San Mateo,san-francisco_oakland_hayward
94404,Foster City,san-francisco_oakland_hayward
94501,Alameda,san-francisco_oakland_hayward
94502,Alameda,san-francisco_oakland_hayward
94505,Discovery Bay,san-francisco_oakland_hayward
94506,Danville,san-francisco_oakland_hayward
94507,Alamo,san-francisco_oakland_hayward
94509,Antioch,san-francisco_oakland_hayward
94511,Bethel Island,san-francisco_oakland_hayward
94513,Brentwood,san-francisco_oakland_hayward
94514,Byron,san-francisco_oakland_hayward
94516,Canyon,san-francisco_oakland_hayward
94517,Clayton,san-francisco_oakland_hayward
94518,Concord,san-francisco_oakland_hayward
94519,Concord,san-francisco_oakland_hayward
94520,Concord,san-francisco_oakland_hayward
94521,Concord,san-francisco_oakland_hayward
94523,Pleasant Hill,san-francisco_oakland_hayward
94525,Crockett,san-francisco_oakland_hayward
94526,Danville,san-francisco_oakland_hayward
94528,Diablo,san-francisco_oakland_hayward
94530,El Cerrito,san-francisco_oakland_hayward
94531,Antioch,san-francisco_oakland_hayward
94536,Fremont,san-francisco_oakland_hayward
94538,Fremont,san-francisco_oakland_hayward
94539,Fremont,san-francisco_oakland_hayward
94541,Hayward,san-francisco_oakland_hayward
94542,Hayward,san-francisco_oakland_hayward
94544,Hayward,san-francisco_oakland_hayward
94545,Hayward,san-francisco_oakland_hayward
94546,Castro Valley,san-francisco_oakland_hayward
94547,Hercules,san-francisco_oakland_hayward
94548,Knightsen,san-francisco_oakland_hayward
94549,Lafayette,san-francisco_oakland_hayward
94550,Livermore,san-francisco_oakland_hayward
94551,Livermore,san-francisco_oakland_hayward
94552,Castro Valley,san-francisco_oakland_hayward
94553,Martinez,san-francisco_oakland_hayward
94555,Fremont,san-francisco_oakland_hayward
94556,Moraga,san-francisco_oakland_hayward
94560,Newark,san-francisco_oakland_hayward
94561,Oakley,san-francisco_oakland_hayward
94563,Orinda,san-francisco_oakland_hayward
94564,Pinole,san-francisco_oakland_hayward
94565,Pittsburg,san-francisco_oakland_hayward
94566,Pleasanton,san-francisco_oakland_hayward
94568,Dublin,san-francisco_oakland_hayward
94569,Port Costa,san-francisco_oakland_hayward
94572,Rodeo,san-francisco_oakland_hayward
94575,Moraga,san-francisco_oakland_hayward
94577,San Leandro,san-francisco_oakland_hayward
94578,San Leandro,san-francisco_oakland_hayward
94579,San Leandro,san-francisco_oakland_hayward
94580,San Lorenzo,san-francisco_oakland_hayward
94582,San Ramon,san-francisco_oakland_hayward
94583,San Ramon,san-francisco_oakland_hayward
94586,Sunol,san-francisco_oakland_hayward
94587,Union City,san-francisco_oakland_hayward
94588,Pleasanton,san-francisco_oakland_hayward
94595,Walnut Creek,san-francisco_oakland_hayward
94596,Walnut Creek,san-francisco_oakland_hayward
94597,Walnut Creek,san-francisco_oakland_hayward
94598,Walnut Creek,san-francisco_oakland_hayward
94601,Oakland,san-francisco_oakland_hayward
94602,Oakland,san-francisco_oakland_hayward
94603,Oakland,san-francisco_oakland_hayward
94605,Oakland,san-francisco_oakland_hayward
94606,Oakland,san-francisco_oakland_hayward
94607,Oakland,san-francisco_oakland_hayward
94608,Oakland,san-francisco_oakland_hayward
94609,Oakland,san-francisco_oakland_hayward
94610,Oakland,san-francisco_oakland_hayward
94611,Oakland,san-francisco_oakland_hayward
94612,Oakland,san-francisco_oakland_hayward
94613,Oakland,san-francisco_oakland_hayward
94618,Oakland,san-francisco_oakland_hayward
94619,Oakland,san-francisco_oakland_hayward
94621,Oakland,san-francisco_oakland_hayward
94702,Berkeley,san-francisco_oakland_hayward
94703,Berkeley,san-francisco_oakland_hayward
94704,Berkeley,san-francisco_oakland_hayward
94705,Berkeley,san-francisco_oakland_hayward
94706,Albany,san-francisco_oakland_hayward
94707,Berkeley,san-francisco_oakland_hayward
94708,Berkeley,san-francisco_oakland_hayward
94709,Berkeley,san-francisco_oakland_hayward
94710,Berkeley,san-francisco_oakland_hayward
94720,Berkeley,san-francisco_oakland_hayward
94801,Richmond,san-francisco_oakland_hayward
94803,El Sobrante,san-francisco_oakland_hayward
94804,Richmond,san-francisco_oakland_hayward
94805,Richmond,san-francisco_oakland_hayward
94806,San Pablo,san-francisco_oakland_hayward
94850,Richmond,san-francisco_oakland_hayward
94901,San Rafael,san-francisco_oakland_hayward
94903,San Rafael,san-francisco_oakland_hayward
94904,Kentfield,san-francisco_oakland_hayward
94920,Tiburon,san-francisco_oakland_hayward
94924,Bolinas,san-francisco_oakland_hayward
94925,Corte Madera,san-francisco_oakland_hayward
94929,Dillon Beach,san-francisco_oakland_hayward
94930,Fairfax,san-francisco_oakland_hayward
94933,Lagunitas-Forest Knolls,san-francisco_oakland_hayward
94937,Inverness,san-francisco_oakland_hayward
94938,Lagunitas-Forest Knolls,san-francisco_oakland_hayward
94939,Larkspur,san-francisco_oakland_hayward
94940,Marshall,san-francisco_oakland_hayward
94941,Mill Valley,san-francisco_oakland_hayward
94945,Novato,san-francisco_oakland_hayward
94946,Nicasio,san-francisco_oakland_hayward
94947,Novato,san-francisco_oakland_hayward
94949,Novato,san-francisco_oakland_hayward
94950,Olema,san-francisco_oakland_hayward
94956,Point Reyes Station,san-francisco_oakland_hayward
94957,Ross,san-francisco_oakland_hayward
94960,San Anselmo,san-francisco_oakland_hayward
94963,San Geronimo,san-francisco_oakland_hayward
94964,San Quentin,san-francisco_oakland_hayward
94965,Sausalito,san-francisco_oakland_hayward
94970,Stinson Beach,san-francisco_oakland_hayward
94971,Tomales,san-francisco_oakland_hayward
94973,Woodacre,san-francisco_oakland_hayward
91901,Alpine,san-diego_carlsbad
91902,Bonita,san-diego_carlsbad
91905,Boulevard,san-diego_carlsbad
91906,Campo,san-diego_carlsbad
91910,Chula Vista,san-diego_carlsbad
91911,Chula Vista,san-diego_carlsbad
91913,Chula Vista,san-diego_carlsbad
91914,Chula Vista,san-diego_carlsbad
91915,Chula Vista,san-diego_carlsbad
91916,Descanso,san-diego_carlsbad
91917,Dulzura,san-diego_carlsbad
91931,Guatay,san-diego_carlsbad
91932,Imperial Beach,san-diego_carlsbad
91934,Jacumba,san-diego_carlsbad
